Total number of staff strength,,,2,,,,,4,,,,,6,,,,
End of Day 7,"Freq. of staff change, days",,1,3,7,14,21,1,3,7,14,21,1,3,7,14,21
No. of shift/ day     1,Number of staff per shift,5,0.1,0.1,0.2,0.1,0.2,0.05,0.05,0.1,0.05,0.05,0.03,0.03,0.07,0.07,0.03
,,10,0.1,0.1,0.15,0.12,0.15,0.03,0.03,0.07,0.05,0.07,0.02,0.02,0.03,0.05,0.03
,,20,0.07,0.07,0.2,0.17,0.17,0.03,0.04,0.07,0.07,0.07,0.02,0.02,0.05,0.05,0.06
,,30,0.08,0.08,0.23,0.23,0.23,0.02,0.03,0.12,0.12,0.12,0.01,0.02,0.09,0.08,0.08
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.08,0.1,0.05,0.03,0.03,0.07,0.07,0.07
,,10,NA,NA,NA,NA,NA,0.03,0.05,0.07,0.05,0.07,0.02,0.02,0.05,0.03,0.03
,,20,NA,NA,NA,NA,NA,0.03,0.03,0.09,0.09,0.07,0.02,0.03,0.05,0.06,0.06
,,30,NA,NA,NA,NA,NA,0.03,0.03,0.12,0.11,0.12,0.01,0.02,0.09,0.08,0.09
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.1,0.1,0.1,0.03,0.03,0.03,0.03,0.07
,,10,NA,NA,NA,NA,NA,0.03,0.05,0.05,0.06,0.07,0.02,0.02,0.05,0.05,0.05
,,20,NA,NA,NA,NA,NA,0.03,0.04,0.08,0.07,0.09,0.02,0.03,0.06,0.06,0.06
,,30,NA,NA,NA,NA,NA,0.03,0.03,0.12,0.12,0.14,0.01,0.02,0.08,0.07,0.08
End of Day 14,,,,,,,,,,,,,,,,,
No. of shift/ day     1,Number of staff per shift,5,0.1,0.2,0.2,0.3,0.3,0.05,0.05,0.1,0.1,0.1,0.03,0.03,0.07,0.1,0.07
,,10,0.15,0.15,0.15,0.3,0.35,0.05,0.05,0.07,0.15,0.15,0.02,0.03,0.03,0.1,0.1
,,20,0.17,0.2,0.2,0.45,0.45,0.04,0.06,0.07,0.22,0.21,0.02,0.03,0.05,0.15,0.15
,,30,0.23,0.3,0.23,0.5,0.49,0.05,0.07,0.12,0.25,0.24,0.02,0.04,0.09,0.16,0.16
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.08,0.1,0.1,0.03,0.03,0.07,0.1,0.08
,,10,NA,NA,NA,NA,NA,0.05,0.05,0.07,0.15,0.15,0.03,0.03,0.05,0.1,0.1
,,20,NA,NA,NA,NA,NA,0.05,0.07,0.09,0.23,0.21,0.03,0.03,0.05,0.14,0.15
,,30,NA,NA,NA,NA,NA,0.06,0.11,0.12,0.24,0.25,0.02,0.05,0.09,0.16,0.17
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.1,0.1,0.15,0.03,0.03,0.03,0.07,0.07
,,10,NA,NA,NA,NA,NA,0.05,0.06,0.05,0.15,0.15,0.03,0.03,0.05,0.1,0.1
,,20,NA,NA,NA,NA,NA,0.05,0.09,0.08,0.23,0.24,0.03,0.04,0.06,0.15,0.15
,,30,NA,NA,NA,NA,NA,0.09,0.11,0.12,0.25,0.25,0.03,0.05,0.08,0.17,0.16
End of Day 21,,,,,,,,,,,,,,,,,
No. of shift/ day     1,Number of staff per shift,5,0.2,0.2,0.2,0.3,0.4,0.05,0.05,0.1,0.1,0.2,0.03,0.03,0.07,0.1,0.1
,,10,0.25,0.3,0.3,0.3,0.45,0.05,0.07,0.07,0.15,0.23,0.03,0.03,0.04,0.1,0.15
,,20,0.33,0.38,0.45,0.45,0.5,0.07,0.11,0.21,0.22,0.25,0.03,0.04,0.11,0.15,0.17
,,30,0.45,0.47,0.49,0.5,0.5,0.12,0.17,0.3,0.25,0.25,0.04,0.08,0.2,0.16,0.17
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.1,0.1,0.15,0.03,0.03,0.07,0.1,0.13
,,10,NA,NA,NA,NA,NA,0.05,0.07,0.12,0.15,0.23,0.03,0.03,0.07,0.1,0.15
,,20,NA,NA,NA,NA,NA,0.1,0.13,0.25,0.23,0.25,0.03,0.05,0.12,0.14,0.17
,,30,NA,NA,NA,NA,NA,0.14,0.26,0.33,0.24,0.25,0.05,0.1,0.22,0.16,0.17
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.03,0.03,0.07,0.07,0.1
,,10,NA,NA,NA,NA,NA,0.07,0.1,0.12,0.15,0.23,0.03,0.03,0.07,0.1,0.13
,,20,NA,NA,NA,NA,NA,0.11,0.18,0.25,0.23,0.25,0.04,0.07,0.14,0.15,0.17
,,30,NA,NA,NA,NA,NA,0.23,0.28,0.35,0.25,0.25,0.06,0.11,0.22,0.17,0.17
