Total number of staff strength,,,2,,,,,4,,,,,6,,,,
End of Day 7,"Freq. of staff change, days",,1,3,7,14,21,1,3,7,14,21,1,3,7,14,21
No. of shift/ day     1,Number of staff per shift,5,0.2,0.2,0.3,0.4,0.3,0.1,0.1,0.2,0.2,0.15,0.03,0.05,0.13,0.1,0.13
,,10,0.2,0.25,0.4,0.43,0.45,0.07,0.1,0.2,0.2,0.2,0.03,0.05,0.15,0.13,0.15
,,20,0.31,0.33,0.5,0.5,0.5,0.07,0.11,0.25,0.25,0.25,0.03,0.08,0.17,0.17,0.17
,,30,0.41,0.4,0.5,0.5,0.5,0.09,0.16,0.25,0.25,0.25,0.05,0.11,0.17,0.17,0.17
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.1,0.15,0.2,0.2,0.03,0.07,0.1,0.13,0.13
,,10,NA,NA,NA,NA,NA,0.07,0.1,0.2,0.21,0.2,0.03,0.07,0.15,0.15,0.13
,,20,NA,NA,NA,NA,NA,0.09,0.14,0.25,0.25,0.25,0.05,0.08,0.17,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.15,0.18,0.25,0.25,0.25,0.05,0.09,0.17,0.17,0.17
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.1,0.1,0.15,0.2,0.15,0.03,0.07,0.13,0.1,0.1
,,10,NA,NA,NA,NA,NA,0.07,0.1,0.2,0.2,0.23,0.03,0.05,0.13,0.13,0.13
,,20,NA,NA,NA,NA,NA,0.12,0.15,0.25,0.25,0.25,0.04,0.08,0.17,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.17,0.22,0.25,0.25,0.25,0.06,0.11,0.17,0.17,0.17
End of Day 14,,,,,,,,,,,,,,,,,
No. of shift/ day     1,Number of staff per shift,5,0.3,0.4,0.3,0.5,0.5,0.1,0.15,0.2,0.25,0.25,0.07,0.07,0.13,0.17,0.17
,,10,0.4,0.45,0.4,0.5,0.5,0.17,0.21,0.2,0.25,0.25,0.05,0.1,0.15,0.17,0.17
,,20,0.5,0.5,0.5,0.5,0.5,0.26,0.42,0.25,0.25,0.25,0.1,0.24,0.17,0.17,0.17
,,30,0.5,0.5,0.5,0.5,0.5,0.48,0.61,0.25,0.25,0.25,0.19,0.39,0.17,0.17,0.17
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.15,0.15,0.15,0.25,0.25,0.07,0.1,0.1,0.17,0.17
,,10,NA,NA,NA,NA,NA,0.17,0.25,0.2,0.25,0.25,0.07,0.12,0.15,0.17,0.17
,,20,NA,NA,NA,NA,NA,0.41,0.46,0.25,0.25,0.25,0.13,0.28,0.17,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.66,0.63,0.25,0.25,0.25,0.25,0.41,0.17,0.17,0.17
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.15,0.2,0.15,0.25,0.25,0.07,0.1,0.13,0.17,0.17
,,10,NA,NA,NA,NA,NA,0.2,0.25,0.2,0.25,0.25,0.08,0.1,0.13,0.17,0.17
,,20,NA,NA,NA,NA,NA,0.53,0.46,0.25,0.25,0.25,0.15,0.29,0.17,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.78,0.63,0.25,0.25,0.25,0.34,0.46,0.17,0.17,0.17
End of Day 21,,,,,,,,,,,,,,,,,
No. of shift/ day     1,Number of staff per shift,5,0.4,0.5,0.5,0.5,0.5,0.2,0.2,0.3,0.25,0.25,0.08,0.1,0.13,0.17,0.17
,,10,0.5,0.5,0.5,0.5,0.5,0.34,0.45,0.38,0.25,0.25,0.1,0.17,0.25,0.17,0.17
,,20,0.5,0.5,0.5,0.5,0.5,0.63,0.73,0.41,0.25,0.25,0.24,0.47,0.29,0.17,0.17
,,30,0.5,0.5,0.5,0.5,0.5,0.88,0.82,0.42,0.25,0.25,0.5,0.62,0.3,0.17,0.17
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.2,0.23,0.3,0.25,0.25,0.1,0.13,0.17,0.17,0.17
,,10,NA,NA,NA,NA,NA,0.41,0.47,0.38,0.25,0.25,0.12,0.22,0.27,0.17,0.17
,,20,NA,NA,NA,NA,NA,0.82,0.79,0.45,0.25,0.25,0.36,0.53,0.33,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.97,0.9,0.47,0.25,0.25,0.64,0.69,0.34,0.17,0.17
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.3,0.25,0.3,0.25,0.25,0.1,0.13,0.17,0.17,0.17
,,10,NA,NA,NA,NA,NA,0.45,0.47,0.4,0.25,0.25,0.17,0.21,0.27,0.17,0.17
,,20,NA,NA,NA,NA,NA,0.93,0.78,0.49,0.25,0.25,0.4,0.58,0.37,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.99,0.93,0.49,0.25,0.25,0.8,0.78,0.39,0.17,0.17
