end_of_day,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
7,1.0,5.0,2,1,0.25
7,1.0,5.0,2,3,0.3
7,1.0,5.0,2,7,0.3
7,1.0,5.0,2,14,0.3
7,1.0,5.0,2,21,0.4
7,1.0,5.0,4,1,0.1
7,1.0,5.0,4,3,0.1
7,1.0,5.0,4,7,0.15
7,1.0,5.0,4,14,0.15
7,1.0,5.0,4,21,0.15
7,1.0,5.0,6,1,0.03
7,1.0,5.0,6,3,0.07
7,1.0,5.0,6,7,0.1
7,1.0,5.0,6,14,0.13
7,1.0,5.0,6,21,0.13
7,1.0,10.0,2,1,0.2
7,1.0,10.0,2,3,0.35
7,1.0,10.0,2,7,0.4
7,1.0,10.0,2,14,0.4
7,1.0,10.0,2,21,0.4
7,1.0,10.0,4,1,0.07
7,1.0,10.0,4,3,0.12
7,1.0,10.0,4,7,0.2
7,1.0,10.0,4,14,0.23
7,1.0,10.0,4,21,0.23
7,1.0,10.0,6,1,0.03
7,1.0,10.0,6,3,0.08
7,1.0,10.0,6,7,0.14
7,1.0,10.0,6,14,0.15
7,1.0,10.0,6,21,0.15
7,1.0,20.0,2,1,0.47
7,1.0,20.0,2,3,0.62
7,1.0,20.0,2,7,0.5
7,1.0,20.0,2,14,0.5
7,1.0,20.0,2,21,0.5
7,1.0,20.0,4,1,0.09
7,1.0,20.0,4,3,0.28
7,1.0,20.0,4,7,0.25
7,1.0,20.0,4,14,0.25
7,1.0,20.0,4,21,0.25
7,1.0,20.0,6,1,0.04
7,1.0,20.0,6,3,0.15
7,1.0,20.0,6,7,0.17
7,1.0,20.0,6,14,0.17
7,1.0,20.0,6,21,0.17
7,1.0,30.0,2,1,0.65
7,1.0,30.0,2,3,0.73
7,1.0,30.0,2,7,0.5
7,1.0,30.0,2,14,0.5
7,1.0,30.0,2,21,0.5
7,1.0,30.0,4,1,0.15
7,1.0,30.0,4,3,0.37
7,1.0,30.0,4,7,0.25
7,1.0,30.0,4,14,0.25
7,1.0,30.0,4,21,0.25
7,1.0,30.0,6,1,0.06
7,1.0,30.0,6,3,0.24
7,1.0,30.0,6,7,0.17
7,1.0,30.0,6,14,0.17
7,1.0,30.0,6,21,0.17
14,1.0,5.0,2,1,0.5
14,1.0,5.0,2,3,0.5
14,1.0,5.0,2,7,0.5
14,1.0,5.0,2,14,0.5
14,1.0,5.0,2,21,0.5
14,1.0,5.0,4,1,0.1
14,1.0,5.0,4,3,0.17
14,1.0,5.0,4,7,0.2
14,1.0,5.0,4,14,0.25
14,1.0,5.0,4,21,0.25
14,1.0,5.0,6,1,0.07
14,1.0,5.0,6,3,0.1
14,1.0,5.0,6,7,0.13
14,1.0,5.0,6,14,0.17
14,1.0,5.0,6,21,0.17
14,1.0,10.0,2,1,0.65
14,1.0,10.0,2,3,0.75
14,1.0,10.0,2,7,0.7
14,1.0,10.0,2,14,0.5
14,1.0,10.0,2,21,0.5
14,1.0,10.0,4,1,0.17
14,1.0,10.0,4,3,0.3
14,1.0,10.0,4,7,0.38
14,1.0,10.0,4,14,0.25
14,1.0,10.0,4,21,0.25
14,1.0,10.0,6,1,0.08
14,1.0,10.0,6,3,0.17
14,1.0,10.0,6,7,0.23
14,1.0,10.0,6,14,0.17
14,1.0,10.0,6,21,0.17
14,1.0,20.0,2,1,0.95
14,1.0,20.0,2,3,0.93
14,1.0,20.0,2,7,0.75
14,1.0,20.0,2,14,0.5
14,1.0,20.0,2,21,0.5
14,1.0,20.0,4,1,0.41
14,1.0,20.0,4,3,0.61
14,1.0,20.0,4,7,0.42
14,1.0,20.0,4,14,0.25
14,1.0,20.0,4,21,0.25
14,1.0,20.0,6,1,0.13
14,1.0,20.0,6,3,0.38
14,1.0,20.0,6,7,0.3
14,1.0,20.0,6,14,0.17
14,1.0,20.0,6,21,0.17
14,1.0,30.0,2,1,0.98
14,1.0,30.0,2,3,0.95
14,1.0,30.0,2,7,0.75
14,1.0,30.0,2,14,0.5
14,1.0,30.0,2,21,0.5
14,1.0,30.0,4,1,0.62
14,1.0,30.0,4,3,0.69
14,1.0,30.0,4,7,0.43
14,1.0,30.0,4,14,0.25
14,1.0,30.0,4,21,0.25
14,1.0,30.0,6,1,0.24
14,1.0,30.0,6,3,0.51
14,1.0,30.0,6,7,0.31
14,1.0,30.0,6,14,0.17
14,1.0,30.0,6,21,0.17
21,1.0,5.0,2,1,0.8
21,1.0,5.0,2,3,0.8
21,1.0,5.0,2,7,0.7
21,1.0,5.0,2,14,0.7
21,1.0,5.0,2,21,0.5
21,1.0,5.0,4,1,0.2
21,1.0,5.0,4,3,0.25
21,1.0,5.0,4,7,0.3
21,1.0,5.0,4,14,0.35
21,1.0,5.0,4,21,0.25
21,1.0,5.0,6,1,0.08
21,1.0,5.0,6,3,0.13
21,1.0,5.0,6,7,0.13
21,1.0,5.0,6,14,0.2
21,1.0,5.0,6,21,0.17
21,1.0,10.0,2,1,0.95
21,1.0,10.0,2,3,0.9
21,1.0,10.0,2,7,0.85
21,1.0,10.0,2,14,0.75
21,1.0,10.0,2,21,0.5
21,1.0,10.0,4,1,0.39
21,1.0,10.0,4,3,0.51
21,1.0,10.0,4,7,0.53
21,1.0,10.0,4,14,0.42
21,1.0,10.0,4,21,0.25
21,1.0,10.0,6,1,0.13
21,1.0,10.0,6,3,0.26
21,1.0,10.0,6,7,0.33
21,1.0,10.0,6,14,0.28
21,1.0,10.0,6,21,0.17
21,1.0,20.0,2,1,1.0
21,1.0,20.0,2,3,0.97
21,1.0,20.0,2,7,0.88
21,1.0,20.0,2,14,0.75
21,1.0,20.0,2,21,0.5
21,1.0,20.0,4,1,0.76
21,1.0,20.0,4,3,0.78
21,1.0,20.0,4,7,0.57
21,1.0,20.0,4,14,0.44
21,1.0,20.0,4,21,0.25
21,1.0,20.0,6,1,0.34
21,1.0,20.0,6,3,0.57
21,1.0,20.0,6,7,0.42
21,1.0,20.0,6,14,0.31
21,1.0,20.0,6,21,0.17
21,1.0,30.0,2,1,1.0
21,1.0,30.0,2,3,0.98
21,1.0,30.0,2,7,0.87
21,1.0,30.0,2,14,0.73
21,1.0,30.0,2,21,0.5
21,1.0,30.0,4,1,0.91
21,1.0,30.0,4,3,0.82
21,1.0,30.0,4,7,0.57
21,1.0,30.0,4,14,0.44
21,1.0,30.0,4,21,0.25
21,1.0,30.0,6,1,0.59
21,1.0,30.0,6,3,0.67
21,1.0,30.0,6,7,0.42
21,1.0,30.0,6,14,0.31
21,1.0,30.0,6,21,0.17
