end_of_day,shifts_per_day,staff_per_shift,strength,staff_change,prop_infected
7,1.0,5.0,2,1,0.4
7,1.0,5.0,2,3,0.3
7,1.0,5.0,2,7,0.5
7,1.0,5.0,2,14,0.5
7,1.0,5.0,2,21,0.5
7,1.0,5.0,4,1,0.1
7,1.0,5.0,4,3,0.2
7,1.0,5.0,4,7,0.25
7,1.0,5.0,4,14,0.25
7,1.0,5.0,4,21,0.25
7,1.0,5.0,6,1,0.07
7,1.0,5.0,6,3,0.1
7,1.0,5.0,6,7,0.17
7,1.0,5.0,6,14,0.17
7,1.0,5.0,6,21,0.17
7,1.0,10.0,2,1,0.43
7,1.0,10.0,2,3,0.45
7,1.0,10.0,2,7,0.5
7,1.0,10.0,2,14,0.5
7,1.0,10.0,2,21,0.5
7,1.0,10.0,4,1,0.12
7,1.0,10.0,4,3,0.21
7,1.0,10.0,4,7,0.25
7,1.0,10.0,4,14,0.25
7,1.0,10.0,4,21,0.25
7,1.0,10.0,6,1,0.07
7,1.0,10.0,6,3,0.12
7,1.0,10.0,6,7,0.17
7,1.0,10.0,6,14,0.17
7,1.0,10.0,6,21,0.17
7,1.0,20.0,2,1,0.5
7,1.0,20.0,2,3,0.5
7,1.0,20.0,2,7,0.5
7,1.0,20.0,2,14,0.5
7,1.0,20.0,2,21,0.5
7,1.0,20.0,4,1,0.25
7,1.0,20.0,4,3,0.3
7,1.0,20.0,4,7,0.25
7,1.0,20.0,4,14,0.25
7,1.0,20.0,4,21,0.25
7,1.0,20.0,6,1,0.1
7,1.0,20.0,6,3,0.19
7,1.0,20.0,6,7,0.17
7,1.0,20.0,6,14,0.17
7,1.0,20.0,6,21,0.17
7,1.0,30.0,2,1,0.5
7,1.0,30.0,2,3,0.5
7,1.0,30.0,2,7,0.5
7,1.0,30.0,2,14,0.5
7,1.0,30.0,2,21,0.5
7,1.0,30.0,4,1,0.35
7,1.0,30.0,4,3,0.35
7,1.0,30.0,4,7,0.25
7,1.0,30.0,4,14,0.25
7,1.0,30.0,4,21,0.25
7,1.0,30.0,6,1,0.14
7,1.0,30.0,6,3,0.22
7,1.0,30.0,6,7,0.17
7,1.0,30.0,6,14,0.17
7,1.0,30.0,6,21,0.17
7,2.0,5.0,2,1,
7,2.0,5.0,2,3,
7,2.0,5.0,2,7,
