Total number of staff strength,,,2,,,,,4,,,,,6,,,,
Social distancing,"Freq. of staff change, days",,1,3,7,14,21,1,3,7,14,21,1,3,7,14,21
No. of shift/ day     1,Number of staff per shift,5,0.2,0.2,0.2,0.35,0.35,0.05,0.1,0.1,0.2,0.17,0.03,0.03,0.07,0.12,0.13
,,10,0.2,0.25,0.2,0.45,0.45,0.05,0.07,0.1,0.23,0.2,0.03,0.03,0.08,0.15,0.13
,,20,0.31,0.38,0.33,0.5,0.5,0.07,0.12,0.16,0.25,0.25,0.03,0.06,0.11,0.17,0.17
,,30,0.42,0.46,0.43,0.5,0.5,0.1,0.21,0.19,0.25,0.25,0.05,0.11,0.14,0.17,0.17
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.1,0.1,0.2,0.17,0.03,0.03,0.05,0.13,0.13
,,10,NA,NA,NA,NA,NA,0.07,0.07,0.1,0.2,0.23,0.03,0.05,0.07,0.15,0.13
,,20,NA,NA,NA,NA,NA,0.1,0.13,0.16,0.25,0.25,0.04,0.07,0.1,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.14,0.25,0.2,0.25,0.25,0.05,0.11,0.14,0.17,0.17
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.15,0.15,0.03,0.07,0.07,0.1,0.13
,,10,NA,NA,NA,NA,NA,0.07,0.1,0.1,0.21,0.23,0.03,0.05,0.07,0.15,0.15
,,20,NA,NA,NA,NA,NA,0.13,0.15,0.15,0.25,0.25,0.03,0.08,0.09,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.23,0.28,0.21,0.25,0.25,0.05,0.13,0.14,0.17,0.17
Gloves,,,,,,,,,,,,,,,,,
No. of shift/ day     1,Number of staff per shift,5,0.2,0.2,0.2,0.3,0.3,0.05,0.05,0.1,0.15,0.15,0.03,0.03,0.07,0.1,0.1
,,10,0.15,0.25,0.2,0.4,0.4,0.05,0.06,0.07,0.2,0.2,0.02,0.03,0.05,0.13,0.15
,,20,0.29,0.35,0.28,0.5,0.5,0.06,0.09,0.13,0.25,0.25,0.03,0.05,0.1,0.17,0.17
,,30,0.37,0.43,0.38,0.5,0.5,0.08,0.17,0.18,0.25,0.25,0.03,0.09,0.12,0.17,0.17
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.1,0.1,0.15,0.15,0.03,0.05,0.07,0.12,0.1
,,10,NA,NA,NA,NA,NA,0.05,0.07,0.1,0.2,0.2,0.03,0.05,0.07,0.13,0.13
,,20,NA,NA,NA,NA,NA,0.07,0.12,0.12,0.25,0.25,0.03,0.05,0.09,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.11,0.2,0.18,0.25,0.25,0.03,0.09,0.13,0.17,0.17
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.1,0.1,0.15,0.15,0.03,0.03,0.07,0.1,0.12
,,10,NA,NA,NA,NA,NA,0.05,0.07,0.1,0.23,0.2,0.03,0.05,0.05,0.13,0.13
,,20,NA,NA,NA,NA,NA,0.12,0.13,0.11,0.25,0.25,0.03,0.05,0.08,0.17,0.17
,,30,NA,NA,NA,NA,NA,0.12,0.22,0.18,0.25,0.25,0.06,0.11,0.13,0.17,0.17
Surgical mask,,,,,,,,,,,,,,,,,
No. of shift/ day     1,Number of staff per shift,5,0.1,0.15,0.1,0.2,0.2,0.05,0.05,0.05,0.1,0.1,0.03,0.03,0.03,0.1,0.1
,,10,0.1,0.15,0.15,0.3,0.25,0.05,0.05,0.07,0.15,0.12,0.02,0.03,0.05,0.12,0.1
,,20,0.17,0.23,0.15,0.45,0.45,0.04,0.05,0.09,0.23,0.23,0.02,0.03,0.06,0.15,0.14
,,30,0.24,0.27,0.23,0.48,0.5,0.04,0.09,0.11,0.24,0.24,0.02,0.03,0.07,0.17,0.16
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.15,0.1,0.03,0.03,0.05,0.1,0.07
,,10,NA,NA,NA,NA,NA,0.05,0.06,0.07,0.12,0.15,0.03,0.03,0.05,0.1,0.1
,,20,NA,NA,NA,NA,NA,0.05,0.05,0.09,0.23,0.21,0.02,0.04,0.05,0.14,0.15
,,30,NA,NA,NA,NA,NA,0.06,0.07,0.12,0.25,0.24,0.02,0.05,0.07,0.16,0.16
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.1,0.1,0.1,0.03,0.03,0.03,0.07,0.07
,,10,NA,NA,NA,NA,NA,0.05,0.05,0.07,0.15,0.15,0.02,0.03,0.03,0.08,0.1
,,20,NA,NA,NA,NA,NA,0.05,0.07,0.09,0.21,0.23,0.03,0.03,0.05,0.15,0.14
,,30,NA,NA,NA,NA,NA,0.07,0.1,0.12,0.24,0.24,0.02,0.05,0.08,0.16,0.16
Gown,,,,,,,,,,,,,,,,,
No. of shift/ day     1,Number of staff per shift,5,0.1,0.1,0.1,0.2,0.2,0.05,0.05,0.05,0.1,0.1,0.03,0.03,0.03,0.07,0.07
,,10,0.1,0.1,0.1,0.2,0.2,0.03,0.05,0.05,0.1,0.1,0.02,0.02,0.03,0.07,0.07
,,20,0.1,0.1,0.1,0.3,0.31,0.03,0.04,0.06,0.14,0.15,0.02,0.02,0.03,0.1,0.1
,,30,0.13,0.18,0.12,0.42,0.42,0.03,0.04,0.06,0.21,0.23,0.01,0.02,0.04,0.14,0.14
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.1,0.1,0.03,0.03,0.03,0.07,0.07
,,10,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.1,0.1,0.02,0.02,0.03,0.07,0.07
,,20,NA,NA,NA,NA,NA,0.04,0.04,0.06,0.16,0.16,0.02,0.02,0.03,0.1,0.1
,,30,NA,NA,NA,NA,NA,0.03,0.04,0.07,0.2,0.22,0.02,0.02,0.04,0.14,0.14
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.1,0.1,0.03,0.03,0.03,0.07,0.07
,,10,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.1,0.07,0.02,0.02,0.03,0.07,0.07
,,20,NA,NA,NA,NA,NA,0.04,0.05,0.05,0.16,0.16,0.02,0.02,0.03,0.1,0.1
,,30,NA,NA,NA,NA,NA,0.04,0.07,0.05,0.22,0.21,0.02,0.03,0.04,0.14,0.14
N95 mask,,,,,,,,,,,,,,,,,
No. of shift/ day     1,Number of staff per shift,5,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03
,,10,0.05,0.05,0.05,0.1,0.1,0.03,0.03,0.03,0.05,0.05,0.02,0.02,0.02,0.03,0.03
,,20,0.03,0.05,0.05,0.07,0.07,0.01,0.01,0.01,0.04,0.04,0.01,0.01,0.01,0.03,0.03
,,30,0.03,0.05,0.03,0.08,0.12,0.01,0.01,0.03,0.05,0.05,0.01,0.01,0.01,0.03,0.03
2,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03
,,10,NA,NA,NA,NA,NA,0.03,0.03,0.03,0.05,0.03,0.02,0.02,0.02,0.02,0.03
,,20,NA,NA,NA,NA,NA,0.01,0.01,0.03,0.04,0.04,0.01,0.01,0.01,0.02,0.03
,,30,NA,NA,NA,NA,NA,0.01,0.02,0.02,0.03,0.04,0.01,0.01,0.01,0.03,0.03
3,Number of staff per shift,5,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03
,,10,NA,NA,NA,NA,NA,0.03,0.03,0.03,0.04,0.05,0.02,0.02,0.02,0.03,0.03
,,20,NA,NA,NA,NA,NA,0.01,0.03,0.01,0.04,0.04,0.01,0.01,0.02,0.03,0.03
,,30,NA,NA,NA,NA,NA,0.02,0.02,0.02,0.05,0.05,0.01,0.01,0.01,0.03,0.03
